the base term,Antonyms,Antonyms in Korean,Choice1,Choice2,Choice3,Choice4
Ê«Ý«,Ê«Ù½,°¡¸נ,Ê«Ù½,Ê«Ù¸,Ê·Ù½,Ê·Ù¸
שךםק,ÊÀםק,°¢Àו,ÊÀםק,ÊÀ‗Ò,ÊÃםק,ÊÃ‗Ò
Ê¥ג¦,Êץג¦,°¨¼צ,Êץג¦,ÊץגÆ,Êתג¦,ÊתגÆ
ÍÈוכ,Êצוכ,°¨¾נ,Êצוכ,Êצוט,Êתוכ,Êתוט
ד°פ¸,Ë½×ü,°­¸²,Ë½×ü,Ë½×ת,Ë³×ü,Ë³×ת
לעכע,Ë­נ¤,°­Á¦,Ë­נ¤,Ë­נ×,Ë³נ¤,Ë³נ×
מןפק,ËÁÜ¬,°³÷°,ËÁÜ¬,ËÁÜ­,ËÂÜ¬,ËÂÜ­
‗Ùגû,ËÈגû,°³¼ת,ËÈגû,ËÈגש,ËÂגû,ËÂגש
ב¬רÄ,ËÈרÄ,°³Æע,ËÈרÄ,ËÈרÃ,ËÂרÄ,ËÂרÃ
ÌÅבב,ËÚØ·,°Å¸¸,ËÚØ·,ËÚØ¶,ËÙØ·,ËÙØ¶
ש»Ð‎,Ì©וÀ,°Ô¾ח,Ì©וÀ,Ì©וË,Ì§וÀ,Ì§וË
ÝÂ×מ,Ì¿שך,°בÇÕ,Ì¿שך,Ì¿שם,ÌÁשך,ÌÁשם
ר¶קצ,ÍכרÁ,°רÆע,ÍכרÁ,ÍכרÃ,ÍשרÁ,ÍשרÃ
Ò‎םÂ,ÍûםÂ,°תÀÛ,ÍûםÂ,ÍûםÃ,Î¨םÂ,Î¨םÃ
ÌÅבב,ÎצØ·,±³¸¸,ÎצØ·,ÎצØ¶,ÎףØ·,ÎףØ¶
Î´ÙÊ,ÎגÙÊ,±³¸ס,ÎגÙÊ,ÎגÙË,ÎףÙÊ,ÎףÙË
ס§פÃ,ÎגפÃ,±³Ãµ,ÎגפÃ,Îגפ¾,ÎףפÃ,Îףפ¾
דזÙ×,ÏÁ‗£,±¸»ך,ÏÁ‗£,ÏÁ‗¢,ÏÉ‗£,ÏÉ‗¢
ךÀד‎,Ï´ד‎,±¸½É,Ï´ד‎,Ï´ה£,ÏÉד‎,ÏÉה£
מ½שק,ÏÝÜ×,±¼÷¹,ÏÝÜ×,ÏÝÜÇ,Ï‗Ü×,Ï‗ÜÇ
Ú°ÔÑ,Ð¼ÔÑ,±Øµ¿,Ð¼ÔÑ,Ð¼ÔÚ,Ð¾ÔÑ,Ð¾ÔÚ
ךÀÌ°,ÐÎןÈ,±ÙÁ¢,ÐÎןÈ,ÐÎןÊ,ÐÌןÈ,ÐÌןÊ
טÇעם,Ñזעם,³«Áת,Ñזעם,Ñזלך,Ñחעם,Ñחלך
