Four-character Idiom,Hanja,the Korean Definition,Choice1,Choice2,Choice3,Choice4,,,
가담항설,街談巷說,거리나 항간에 떠도는 소문.,街,袈,巷,降,,,
가롱성진,假弄成眞,장난삼아 한 것이 진심으로 한 것같이 됨.,假,袈,僞,萎,,,
가서만금,佳書萬金,여행 중에 가인으로부터 서신을 받으면 그 기쁨이 만금을 얻는 데 해당함.,佳,袈,美,靡,,,
상가지구,喪家之狗,상가의 개. 몹시 초라하고 수척한 사람을 깔보는 표현. 자신의 뜻을 펼치지 못하여 실의에 빠진 사람.,喪,翔,失,悉,,,
각주구검,刻舟求劍,융통성 없이 현실에 맞지 않는 낡은 생각을 고집하는 어리석음. 초나라 사람이 배에서 칼을 물속에 떨어뜨리고 그 위치를 뱃전에 표시하였다가 나중에 배가 움직인 것을 생각하지 않고 칼을 찾았다는 데서 유래.,刻,殼,刊,揀,,,
감천선갈,甘泉先竭,물맛이 좋은 샘은 빨리 마름. 재주가 뛰어난 사람이 일찍 쇠함.,甘,紺,懸,見,,,
강의목눌,剛毅木訥,"강직하고, 의연하고, 질박하고, 어눌함. 논어 자로편에 보임.",剛,糠,健,虔,,,
개과천선,改過遷善,허물을 고쳐 착하게 됨.,改,凱,更,痙,,,
개문읍도,開門揖盜,문을 열어 도둑에게 예를 갖춤. 제 스스로 화를 불러들임.,開,凱,啓,悸,,,
거기부정,擧棋不定,바둑돌을 들고 놓을 곳을 정하지 못함. 확고한 주관이 없거나 계획이 수시로 바뀜.,擧,醵,擡,袋,,,
건목수생,乾木水生,마른나무에서 물이 남. 아무것도 없는 사람에게 무리하게 무엇을 내라고 요구함.,乾,虔,穹,躬,,,
견마지로,犬馬之勞,개나 말 정도의 하찮은 힘. 윗사람에게 충성을 다하는 자신의 노력을 낮추어 이르는 말.,犬,繭,狗,鉤,,,
견아상착,犬牙相錯,땅의 경계가 일직선으로 되어 있지 않고 개의 이빨처럼 들쭉날쭉 서로 어긋남.,犬,繭,狗,鉤,,,
견위치명,見危致命,나라가 위태로울 때 자기의 몸을 나라에 바침. 논어 자장편에 보임.,見,繭,看,揀,,,
결초보은,結草報恩,"죽은 뒤에라도 은혜를 잊지 않고 갚음. 춘추시대에, 진나라의 위과가 아버지가 세상을 떠난 후에 서모를 개가시켜 순사하지 않게 하였더니, 그 뒤 싸움터에서 그 서모 아버지의 혼이 적군의 앞길에 풀을 묶어 적을 넘어뜨려 위과가 공을 세울 수 있도록 하였다는 고사에서 유래.",結,訣,契,悸,,,
경이원지,敬而遠之,공경하되 가까이하지는 않음. 논어 옹야편에 보임.,敬,痙,虔,巾,,,
계명구도,鷄鳴狗盜,좋은 기회를 놓치지 않으면 큰일을 이룰 수 있다.,鷄,悸,酉,喩,,,
고굉지신,股肱之臣,다리와 팔 같이 중요한 신하. 임금이 가장 신임하는 신하. 서경 익직편에 보임.,股,痼,腿,頹,,,
고량진미,膏粱珍味,기름진 고기와 좋은 곡식으로 만든 맛있는 음식.,膏,痼,肪,枋,,,
골육상잔,骨肉相殘,가까운 혈족끼리 서로 해치고 죽임.,骨,鵠,骸,懈,,,
광일미구,曠日彌久,헛되이 세월을 보내며 일을 오래 끎.,曠,壙,空,鞏,,,
교각살우,矯角殺牛,소의 뿔을 바로잡으려다가 소를 죽임. 잘못된 점을 고치려다가 그 방법이나 정도가 지나쳐 오히려 일을 그르침.,矯,轎,董,瞳,,,
교왕과정,矯枉過正,굽은 것을 바로 잡으면서 정도를 지나침. 잘못된 것을 바로잡으려다가 너무 지나쳐서 오히려 나쁘게 됨.,矯,轎,董,瞳,,,
구맹주산,狗猛酒酸,개가 사나우면 술이 시어짐. 한 나라에 간신배가 있으면 어진 신하가 모이지 않음.,狗,鉤,犬,繭,,,
군계일학,群鷄一鶴,닭의 무리 가운데에서 한 마리의 학. 많은 사람 가운데서 뛰어난 인물.,群,窘,黨,螳,,,
군맹무상,群盲撫象,장님 여럿이 코끼리를 만짐. 사물을 좁은 소견과 주관으로 잘못 판단함.,群,窘,黨,螳,,,
군자무본,君子務本,군자는 근본에 온 힘을 다 쏟음. 논어 학이편에 보임.,君,窘,王,莞,,,
군자불기,君子不器,군자는 그릇이 아님. 군자는 그릇처럼 국한되지 않음. 논어 위정편에 보임.,君,窘,王,莞,,,
