한자,뜻,음
袈,가사,가
苛,가혹하다,가
呵,꾸짖다,가
駕,멍에,가
哥,노래,가
嫁,시집가다,가
稼,심다,가
嘉,아름답다,가
柯,가지,가
迦,부처이름,가
賈,값,가
賈,장사,가
軻,수레,가
伽,절,가
架,시렁,가
佳,아름답다,가
暇,틈,가
暇,겨를,가
街,거리,가
假,거짓,가
價,값,가
加,더하다,가
可,옳다,가
歌,노래,가
家,집,가
殼,껍질,각
恪,삼가다,각
珏,쌍옥,각
却,물리치다,각
脚,다리,각
閣,집,각
覺,깨닫다,각
刻,새기다,각
各,각각,각
角,뿔,각
揀,가리다,간
奸,간사하다,간
癎,간질,간
諫,간언하다,간
墾,개간하다,간
竿,낚싯대,간
澗,산골물,간
艱,어렵다,간
艮,괘이름,간
艮,그치다,간
杆,몽둥이,간
姦,간음하다,간
肝,간,간
懇,간절하다,간
刊,새기다,간
幹,줄기,간
簡,대쪽,간
簡,간략하다,간
干,방패,간
看,보다,간
間,사이,간
褐,갈색,갈
褐,굵은베,갈
喝,꾸짖다,갈
竭,다하다,갈
鞨,오랑캐이름,갈
葛,칡,갈
渴,목마르다,갈
紺,검색,감
疳,감질,감
堪,견디다,감
瞰,굽어 보다,감
柑,귤,감
勘,헤아리다,감
憾,섭섭하다,감
鑑,거울,감
敢,감히,감
敢,구태여,감
甘,달다,감
減,덜다,감
監,보다,감
感,느끼다,감
匣,상자,갑
閘,수문,갑
鉀,갑옷,갑
岬,곶,갑
甲,갑옷,갑
糠,겨,강
薑,생강,강
腔,속이 비다,강
慷,슬프다,강
彊,굳세다,강
岡,산등성이,강
姜,성씨,강
崗,언덕,강
疆,경계,강
鋼,강철,강
剛,굳세다,강
綱,벼리,강
降,내리다,강
降,항복하다,항
講,외우다,강
康,편안하다,강
強,강하다,강
江,강,강
凱,개선하다,개
芥,겨자,개
箇,낱,개
漑,몰을 대다,개
愾,성내다,개
塏,높은 땅,개
价,크다,개
皆,모두,개
慨,슬퍼하다,개
介,끼다,개
槪,대개,개
蓋,덮다,개
個,낱,개
改,고치다,개
開,열다,개
客,손님,객
羹,국,갱
坑,구덩이,갱
醵,추렴하다,거
醵,추렴하다,갹
渠,개천,거
倨,거만하다,거
距,떨어져 있다,거
據,근거,거
拒,막다,거
居,살다,거
巨,크다,거
去,가다,거
擧,들다,거
車,수레,거
車,수레,차
虔,공경하다,건
巾,수건,건
腱,힘줄,건
鍵,자물쇠,건
鍵,열쇠,건
乾,하늘,건
乾,마르다,건
健,굳세다,건
件,물건,건
建,세우다,건
杰,뛰어나다,건
桀,하왕이름,걸
乞,빌다,걸
傑,뛰어나다,걸
劍,칼,검
儉,검소하다,검
檢,검사하다,검
怯,겁내다,겁
劫,위협하다,겁
偈,불시(佛詩),게
揭,높이 들다,게
揭,걸다,게
憩,쉬다,게
膈,가슴,격
檄,격문,격
覡,남자 무당,격
隔,사이뜨다,격
激,격하다,격
擊,치다,격
格,격식,격
繭,고치,견
譴,꾸짖다,견
鵑,두견새,견
甄,질그릇,견
遣,보내다,견
絹,비단,견
肩,어깨,견
牽,이끌다,견
牽,끌다,견
犬,개,견
堅,굳다,견
見,보다,견
見,뵙다,현
訣,이별하다,결
潔,깨끗하다,결
缺,이지러지다,결
決,결단하다,결
結,맺다,결
謙,겸손하다,겸
兼,겸하다,겸
痙,경련,경
磬,경쇠,경
鯨,고래,경
勁,굳세다,경
憬,깨닫다,경
憬,동경하다,경
頸,목,경
脛,정강이,경
莖,줄기,경
梗,줄기,경
梗,막히다,경
儆,경계하다,경
瓊,구슬,경
炅,빛나다,경
璟,옥빛,경
竟,마침내,경
卿,벼슬,경
庚,별,경
硬,굳다,경
耕,밭을 갈다,경
頃,이랑,경
頃,잠깐,경
徑,지름길,경
徑,길,경
鏡,거울,경
更,고치다,경
更,다시,경
傾,거울,경
驚,놀라다,경
慶,경사,경
警,깨우치다,경
境,경계,경
經,지나다,경
經,글,경
輕,가볍다,경
敬,공경하다,경
競,다투다,경
景,빛,경
京,서울,경
悸,두근거리다,계
繫,매다,계
癸,북방,계
癸,천간,계
桂,계수나무,계
械,기계,계
契,맺다,계
溪,시내,계
啓,열다,계
戒,경계하다,계
季,계절,계
鷄,닭,계
階,섬돌,계
系,이어 매다,계
繼,잇다,계
係,매다,계
計,셈하다,계
界,경계,계
痼,고질병,고
膏,기름,고
股,넓적다리,고
叩,두드리다,고
敲,두드리다,고
錮,막다,고
袴,바지,고
呱,울다,고
拷,치다,고
辜,허물,고
皐,언덕,고
雇,품팔다,고
顧,돌아보다,고
枯,마르다,고
鼓,북,고
姑,시어머니,고
稿,원고,고
稿,볏,고
庫,곳집,고
孤,외롭다,고
故,연고,고
告,알리다,고
固,굳다,고
考,생각하다,고
高,높다,고
苦,쓰다,고
古,옛,고
鵠,고니,곡
鵠,과녁,곡
梏,수갑,곡
谷,골짜기,곡
哭,울다,곡
穀,곡식,곡
曲,굽다,곡
袞,곤룡포,곡
昆,맏이,곡
棍,몽둥이,곡
坤,땅,곡
困,어렵다,곡
汨,골몰하다,곡
汨,물이름,멱
骨,뼈,곡
鞏,굳다,공
拱,팔짱을 끼다,공
恭,공손하다,공
恐,두렵다,공
貢,바치다,공
供,이바지하다,공
孔,구멍,공
攻,치다,공
功,공,공
公,공평하다,공
共,함께,공
空,비다,공
工,장인,공
顆,낱알,과
菓,과자,과
菓,실과,과
瓜,오이,과
戈,창,과
誇,자랑하다,과
寡,적다,과
課,공부하다,과
課,과정,과
過,지나다,과
科,과목,과
果,열매,과
廓,둘레,곽
廓,크다,확
槨,밧집,곽
藿,콩잎,곽
藿,미역,곽
郭,둘레,곽
郭,성곽,곽
顴,광대뼈,관
棺,널,관
灌,물을 대다,관
串,꿰다,관
串,땅이름,관
琯,옥피리,관
款,항목,관
冠,갓,관
貫,꿰다,관
寬,너그럽다,관
慣,익숙하다,관
館,집,관
管,대롱,관
管,주관하다,관
官,벼슬,관
關,관계하다,관
觀,보다,관
刮,긁다,괄
括,묶다,괄
壙,뫼구덩이,광
匡,바루다,광
曠,비다,광
胱,오줌통,광
狂,미치다,광
鑛,쇳덩이,광
廣,넓다,광
光,빛,광
卦,점괘,괘
罫,줄,괘
掛,걸다,괘
魁,괴수,괴
乖,어그러지다,괴
拐,후리다,괴
傀,허수아비,괴
槐,회화나무,괴
槐,느티나무,괴
愧,부끄럽다,괴
塊,흙덩이,괴
怪,괴이하다,괴
壞,무너지다,괴
轟,울리다,굉
轟,수레 소리,굉
宏,크다,굉
肱,팔뚝,굉
轎,가마,교
蛟,교룡,교
驕,교만하다,교
狡,교활하다,교
喬,높다,교
皎,달이 밝다,교
咬,물다,교
咬,새소리,교
嬌,아리땁다,교
攪,흔들다,교
僑,더부살이,교
絞,목매다,교
膠,아교,교
郊,들,교
矯,바로잡다,교
較,견주다,교
較,비교하다,교
巧,공교하다,교
橋,다리,교
交,사귀다,교
敎,가르치다,교
校,학교,교
鉤,갈고리,구
嘔,게우다,구
枸,구기자나무,구
柩,널,구
衢,네거리,구
謳,노래,구
溝,도랑,구
寇,도적,구
垢,때,구
毆,때리다,구
灸,뜸,구
廏,마구간,구
駒,망아지,구
矩,모나다,구
矩,법,구
軀,몸,구
鳩,비둘기,구
舅,시아버지,구
舅,외삼촌,구
仇,원수,구
臼,절구,구
嶇,험하다,구
鷗,갈매기,구
歐,구라파,구
歐,치다,구
購,사다,구
邱,언덕,구
玖,옥돌,구
狗,개,구
龜,거북,구
龜,거북,귀
龜,터지다,균
懼,두려워하다,구
