Homophones,Hanja,the Korean Definition,Choice1,Choice2,Choice3,Choice4,,,
°¡ºÎ,Ê¢Üþ,¿ë¸ð¿Í ÀçÁúÀÌ ¶Ù¾î³ª°í ¾äÀüÇÑ ½ÅºÎ.,Ê¢Üþ,Ê¢ÜÝ,Ê¢ÜÖ,Ê¢Üö,,,
°¡ºÎ,Ê¦Üú,¿Ç°í ±×¸§.,Ê¦Üú,Ê¦ÜÝ,Ê¦ÜÖ,Ê¦Üö,,,
°¡Àý,Ê¢ï½,ÁÁÀº ½ÃÀýÀÌ³ª °èÀý. ÁÁÀº ¸íÀý.,Ê¢ï½,Ê¢ï¸,Ê¢ï¼,Ê¢ï¹,,,
°¡Àý,Ê¢ï¾,»©¾î³ª°Ô ¾Æ¸§´Ù¿ò.,Ê¢ï¾,Ê¢ï¸,Ê¢ï¼,Ê¢ï¹,,,
°¡Ã¥,Ê§ô¡,ÀÚ±â³ª ³²ÀÇ Àß¸ø¿¡ ´ëÇØ¼­ ²ÙÂ¢¾î Ã¥¸ÁÇÔ.,Ê§ô¡,Ê§óý,Ê§óþ,Ê§óü,,,
°¡Ã¥,Ê´ô¡,¸÷½Ã ½ÉÇÏ°Ô ²ÙÂ¢À½.,Ê´ô¡,Ê´óý,Ê´óþ,Ê´óü,,,
°¡Ãë,Ê¢ö¬,ÁÁÀº Ãë¹Ì.,Ê¢ö¬,Ê¢öª,Ê¢ö¥,Ê¢ö¨,,,
°¡Ãë,Êªö¥,½ÃÁý°¡°í Àå°¡µê.,Êªö¥,Êªöª,Êªö¨,Êªö©,,,
°¢ÀÚ,Ê¾í®,±ÛÀÚ¸¦ »õ±è.,Ê¾í®,Ê¾í³,Ê¾í¾,Ê¾í¶,,,
°¢ÀÚ,ÊÆíº,Áø¸®¸¦ ±ú´ÞÀº »ç¶÷.,ÊÆíº,ÊÆí³,ÊÆí¾,ÊÆí¶,,,
°£°è,ÊÌÍª,°£»çÇÑ ²Ò.,ÊÌÍª,ÊÌÌû,ÊÌÍ¨,ÊÌÍ¤,,,
°£°è,ÊßÌü,À­»ç¶÷¿¡°Ô Àß¸øÀ» °íÄ¡°Å³ª ÁÖÀÇÇÏµµ·Ï °£ÇÔ.,ÊßÌü,ÊßÌû,ÊßÍ¨,ÊßÍ¤,,,
°£´ã,ÊÐÓÈ,¼­·Î Á¤´ä°Ô ÀÌ¾ß±â¸¦ ÁÖ°í¹ÞÀ½. ¶Ç´Â ±× ÀÌ¾ß±â.,ÊÐÓÈ,ÊÐÓÃ,ÊÐÓÂ,ÊÐÓ¼,,,
°£´ã,ÊÜÓÅ,°£°ú ¾µ°³. ¼Ó¸¶À½.,ÊÜÓÅ,ÊÜÓÃ,ÊÜÓÂ,ÊÜÓ¼,,,
