Synonyms,Hanja,the Korean Definition,Choice1,Choice2,Choice3,Choice4,,,,
°¡Áõ,Ê¥ñò,´õ º¸ÅÆ,Ê¥ôÕ,Ê¥ôÒ,Ê·ôÕ,Ê·ôÒ,,,,
°¡Ã·,Ê¥ôÕ,´õ º¸ÅÆ,Ê¥ñò,Ê¥ñü,Ê·ñò,Ê·ñü,,,,
°¡¿Á,Ê«è©,»ç¶÷ÀÌ »ç´Â Áý,Ê«÷È,Ê«÷Ê,Ê·÷È,Ê·÷Ê,,,,
°¡ÅÃ,Ê«÷È,»ç¶÷ÀÌ »ç´Â Áý,Ê«è©,Ê«èª,Ê·è©,Ê·èª,,,,
°¡È£,Ê«ûÂ,»ç¶÷ÀÌ »ç´Â Áý,Ê«è©,Ê«èª,Ê·è©,Ê·èª,,,,
°¡°ø,Ê­Íö,°ÅÁþÀ» ²Ù¹Ò,Ï°úÈ,Ï°úÆ,ÏÉúÈ,ÏÉúÆ,,,,
±¸Çã,Ï°úÈ,°ÅÁþÀ» ²Ù¹Ò,Ê­Íö,Ê­Íù,Ê·Íö,Ê·Íù,,,,
Çö°ø,úØÍö,°ÅÁþÀ» ²Ù¹Ò,Ê­Íö,Ê­Íù,Ê·Íö,Ê·Íù,,,,
°¢Ãà,ÊÇõï,¼­·Î ÀÌ±â·Á°í ´ÙÅõ¸ç ´ýº­µê,õïÖã,õïÖä,õîÖã,õîÖä,,,,
Ãà·Ï,õïÖã,¼­·Î ÀÌ±â·Á°í ´ÙÅõ¸ç ´ýº­µê,ÊÇõï,ÊÇõî,ÊÃõï,ÊÃõî,,,,
°¡¾à,Ê¢å³,ºÎºÎ°¡ µÇÀÚ´Â ¾à¼Ó,å³ûæ,å³ûé,åµûæ,åµûé,,,,
¾àÈ¥,å³ûæ,ºÎºÎ°¡ µÇÀÚ´Â ¾à¼Ó,Ê¢å³,Ê¢åµ,Ê·å³,Ê·åµ,,,,
Á¤È¥,ïÒûæ,ºÎºÎ°¡ µÇÀÚ´Â ¾à¼Ó,Ê¢å³,Ê¢åµ,Ê·å³,Ê·åµ,,,,
È¥¾à,ûæå³,ºÎºÎ°¡ µÇÀÚ´Â ¾à¼Ó,Ê¢å³,Ê¢åµ,Ê·å³,Ê·åµ,,,,
°¡Á¤,Ê´ïÙ,Æ÷¾ÇÇÑ Á¤Ä¡,ø§ïÙ,ø§ïÓ,ø©ïÙ,ø©ïÓ,,,,
ÆÐÁ¤,ø§ïÙ,Æ÷¾ÇÇÑ Á¤Ä¡,Ê´ïÙ,Ê´ïÓ,Ê·ïÙ,Ê·ïÓ,,,,
ÆøÁ¤,øìïÙ,Æ÷¾ÇÇÑ Á¤Ä¡,Ê´ïÙ,Ê´ïÓ,Ê·ïÙ,Ê·ïÓ,,,,
ÇÐÁ¤,ùËïÙ,Æ÷¾ÇÇÑ Á¤Ä¡,Ê´ïÙ,Ê´ïÓ,Ê·ïÙ,Ê·ïÓ,,,,
°­Å»,Ë­÷¬,¾ïÁö·Î »©¾ÑÀ½,Ì¤ÕÓ,Ì¤ÕÒ,Ì¥ÕÓ,Ì¥ÕÒ,,,,
°Ì·«,Ì¤ÕÓ,¾ïÁö·Î »©¾ÑÀ½,Ë­÷¬,Ë­÷­,Ë³÷¬,Ë³÷­,,,,
°ÌÅ»,Ì¤÷¬,¾ïÁö·Î »©¾ÑÀ½,Ë­÷¬,Ë­÷­,Ë³÷¬,Ë³÷­,,,,
´ÁÅ»,Òð÷¬,¾ïÁö·Î »©¾ÑÀ½,Ë­÷¬,Ë­÷­,Ë³÷¬,Ë³÷­,,,,
¾àÅ»,å±÷¬,¾ïÁö·Î »©¾ÑÀ½,Ë­÷¬,Ë­÷­,Ë³÷¬,Ë³÷­,,,,
¾ïÅ»,åä÷¬,¾ïÁö·Î »©¾ÑÀ½,Ë­÷¬,Ë­÷­,Ë³÷¬,Ë³÷­,,,,
ÇùÅ»,úö÷¬,¾ïÁö·Î »©¾ÑÀ½,Ë­÷¬,Ë­÷­,Ë³÷¬,Ë³÷­,,,,
°¡±³,Ê«Îç,ÇÑÁý¾ÈÀÇ Á¶»óÀÌ³ª ¾î¸¥ÀÌ ÀÚ¼Õµé¿¡°Ô ÀÏ·¯ ÁÖ´Â °¡¸£Ä§,Ê«ýº,Ê«ý»,Ê·ýº,Ê·ý»,,,,
°¡ÈÆ,Ê«ýº,ÇÑÁý¾ÈÀÇ Á¶»óÀÌ³ª ¾î¸¥ÀÌ ÀÚ¼Õµé¿¡°Ô ÀÏ·¯ ÁÖ´Â °¡¸£Ä§,Ê«Îç,Ê«Îó,Ê·Îç,Ê·Îó,,,,
Á¤±³,ïÔÎç,ÇÑÁý¾ÈÀÇ Á¶»óÀÌ³ª ¾î¸¥ÀÌ ÀÚ¼Õµé¿¡°Ô ÀÏ·¯ ÁÖ´Â °¡¸£Ä§,Ê«Îç,Ê«Îó,Ê·Îç,Ê·Îó,,,,
Á¤ÈÆ,ïÔýº,ÇÑÁý¾ÈÀÇ Á¶»óÀÌ³ª ¾î¸¥ÀÌ ÀÚ¼Õµé¿¡°Ô ÀÏ·¯ ÁÖ´Â °¡¸£Ä§,Ê«Îç,Ê«Îó,Ê·Îç,Ê·Îó,,,,
°³±¹,ËÒÏÐ,³ª¶ó¸¦ ¼¼¿ò,ËÒêª,ËÒê»,ËÂêª,ËÂê»,,,,
°³¿ø,ËÒêª,³ª¶ó¸¦ ¼¼¿ò,ËÒÏÐ,ËÒÏÓ,ËÂÏÐ,ËÂÏÓ,,,,
°Ç±¹,ËïÏÐ,³ª¶ó¸¦ ¼¼¿ò,ËÒÏÐ,ËÒÏÓ,ËÂÏÐ,ËÂÏÓ,,,,
°ú³â,ÍþÒ´,º­½½ÀÇ ÀÓ±â°¡ ³¡³ª´Â ½Ã±â¸¦ ÀÌ¸£´ø ¸»,ÍþÑ¢,ÍþÑ£,Î¨Ñ¢,Î¨Ñ£,,,,
°ú±â,ÍþÑ¢,º­½½ÀÇ ÀÓ±â°¡ ³¡³ª´Â ½Ã±â¸¦ ÀÌ¸£´ø ¸»,ÍþÒ´,ÍþÒµ,Î¨Ò´,Î¨Òµ,,,,
°ú¸¸,ÍþØ»,º­½½ÀÇ ÀÓ±â°¡ ³¡³ª´Â ½Ã±â¸¦ ÀÌ¸£´ø ¸»,ÍþÒ´,ÍþÒµ,Î¨Ò´,Î¨Òµ,,,,
°ú½Ã,ÍþãÁ,º­½½ÀÇ ÀÓ±â°¡ ³¡³ª´Â ½Ã±â¸¦ ÀÌ¸£´ø ¸»,ÍþÒ´,ÍþÒµ,Î¨Ò´,Î¨Òµ,,,,
ÆÄ°ú,÷òÍþ,º­½½ÀÇ ÀÓ±â°¡ ³¡³ª´Â ½Ã±â¸¦ ÀÌ¸£´ø ¸»,ÍþÒ´,ÍþÒµ,Î¨Ò´,Î¨Òµ,,,,
³»Åë,Ò®÷×,¹è¿ìÀÚ ÀÌ¿ÜÀÇ »ç¶÷°úÀÇ ¼º°ü°è,ÊÍëâ,ÊÍëã,ÊÑëâ,ÊÑëã,,,,
°£À½,ÊÍëâ,¹è¿ìÀÚ ÀÌ¿ÜÀÇ »ç¶÷°úÀÇ ¼º°ü°è,Ò®÷×,Ò®Ô×,Ò¯÷×,Ò¯Ô×,,,,
»çÅë,Þç÷×,¹è¿ìÀÚ ÀÌ¿ÜÀÇ »ç¶÷°úÀÇ ¼º°ü°è,Ò®÷×,Ò®Ô×,Ò¯÷×,Ò¯Ô×,,,,
¾ßÇÕ,å¯ùê,¹è¿ìÀÚ ÀÌ¿ÜÀÇ »ç¶÷°úÀÇ ¼º°ü°è,Ò®÷×,Ò®Ô×,Ò¯÷×,Ò¯Ô×,,,,
ÅëÁ¤,÷×ï×,¹è¿ìÀÚ ÀÌ¿ÜÀÇ »ç¶÷°úÀÇ ¼º°ü°è,Ò®÷×,Ò®Ô×,Ò¯÷×,Ò¯Ô×,,,,
°Å»ó,ËÝßÂ,Å« ±Ô¸ð·Î Àå»çÇÏ´Â »óÀÎ,ÓÞÍÏ,ÓÞÍÀ,ÓäÍÏ,ÓäÍÀ,,,,
´ë°í,ÓÞÍÏ,Å« ±Ô¸ð·Î Àå»çÇÏ´Â »óÀÎ,ËÝßÂ,ËÝßÖ,ËÙßÂ,ËÙßÖ,,,,
´ë»ó,ÓÞßÂ,Å« ±Ô¸ð·Î Àå»çÇÏ´Â »óÀÎ,ËÝßÂ,ËÝßÖ,ËÙßÂ,ËÙßÖ,,,,
ºÎ°í,Ý£ÍÏ,Å« ±Ô¸ð·Î Àå»çÇÏ´Â »óÀÎ,ËÝßÂ,ËÝßÖ,ËÙßÂ,ËÙßÖ,,,,
ºÎ»ó,Ý£ßÂ,Å« ±Ô¸ð·Î Àå»çÇÏ´Â »óÀÎ,ËÝßÂ,ËÝßÖ,ËÙßÂ,ËÙßÖ,,,,
½Â»ó,ã­ßÂ,Å« ±Ô¸ð·Î Àå»çÇÏ´Â »óÀÎ,ËÝßÂ,ËÝßÖ,ËÙßÂ,ËÙßÖ,,,,
È£»ó,ûßßÂ,Å« ±Ô¸ð·Î Àå»çÇÏ´Â »óÀÎ,ËÝßÂ,ËÝßÖ,ËÙßÂ,ËÙßÖ,,,,
°í¸í,ÍÔÙ£,³ôÀÌ ¾Ë·ÁÁø ÀÌ¸§ÀÌ³ª ³ôÀº ¸í¿¹,Ê©öà,Ê©öß,Ê·öà,Ê·öß,,,,
°¡Äª,Ê©öà,³ôÀÌ ¾Ë·ÁÁø ÀÌ¸§ÀÌ³ª ³ôÀº ¸í¿¹,ÍÔÙ£,ÍÔÙ©,ÍÀÙ£,ÍÀÙ©,,,,
´ë¸í,ÓÞÙ£,³ôÀÌ ¾Ë·ÁÁø ÀÌ¸§ÀÌ³ª ³ôÀº ¸í¿¹,ÍÔÙ£,ÍÔÙ©,ÍÀÙ£,ÍÀÙ©,,,,
¿µ¸í,ç©Ù£,³ôÀÌ ¾Ë·ÁÁø ÀÌ¸§ÀÌ³ª ³ôÀº ¸í¿¹,ÍÔÙ£,ÍÔÙ©,ÍÀÙ£,ÍÀÙ©,,,,
±³¶õ,ÎæÕ¯,¾îÁö·¯¿ö ½Ã²ô·¯¿ò ¶Ç´Â ¾îÁö·´Çô ½Ã²ô·´°Ô ÇÔ,ÑêÎæ,ÑêÎó,ÑîÎæ,ÑîÎó,,,,
³­±³,ÑêÎæ,¾îÁö·¯¿ö ½Ã²ô·¯¿ò ¶Ç´Â ¾îÁö·´Çô ½Ã²ô·´°Ô ÇÔ,ÎæÕ¯,ÎæÕ¶,ÎóÕ¯,ÎóÕ¶,,,,
¿ä¶õ,èöÕ¯,¾îÁö·¯¿ö ½Ã²ô·¯¿ò ¶Ç´Â ¾îÁö·´Çô ½Ã²ô·´°Ô ÇÔ,ÎæÕ¯,ÎæÕ¶,ÎóÕ¯,ÎóÕ¶,,,,
±Í¿ø,Ïýêª,½Â·ÁÀÇ Á×À½À» ÀÌ¸£´Â ¸»,ÏýîÖ,Ïýí³,ÏÏîÖ,ÏÏí³,,,,
±ÍÀû,ÏýîÖ,½Â·ÁÀÇ Á×À½À» ÀÌ¸£´Â ¸»,Ïýêª,Ïýê»,ÏÏêª,ÏÏê»,,,,
½ÃÀû,ãÆîÖ,½Â·ÁÀÇ Á×À½À» ÀÌ¸£´Â ¸»,Ïýêª,Ïýê»,ÏÏêª,ÏÏê»,,,,
ÀÔÀû,ìýîÖ,½Â·ÁÀÇ Á×À½À» ÀÌ¸£´Â ¸»,Ïýêª,Ïýê»,ÏÏêª,ÏÏê»,,,,
ÃµÈ­,ôÃûù,½Â·ÁÀÇ Á×À½À» ÀÌ¸£´Â ¸»,Ïýêª,Ïýê»,ÏÏêª,ÏÏê»,,,,
´ç·ù,ÓÚ×¾,°°Àº ¹«¸®³ª Æí¿¡ µå´Â »ç¶÷µé,ÔÒ×¾,ÔÒ×¸,ÔÚ×¾,ÔÚ×¸,,,,
µ¿·ù,ÔÒ×¾,°°Àº ¹«¸®³ª Æí¿¡ µå´Â »ç¶÷µé,ÓÚ×¾,ÓÚ×¸,ÓÙ×¾,ÓÙ×¸,,,,
µ¿Á¾,ÔÒðú,°°Àº ¹«¸®³ª Æí¿¡ µå´Â »ç¶÷µé,ÓÚ×¾,ÓÚ×¸,ÓÙ×¾,ÓÙ×¸,,,,
¹Ý´ç,ÚáÓ×,°°Àº ¹«¸®³ª Æí¿¡ µå´Â »ç¶÷µé,ÓÚ×¾,ÓÚ×¸,ÓÙ×¾,ÓÙ×¸,,,,
¿¬·ù,ææ×¾,°°Àº ¹«¸®³ª Æí¿¡ µå´Â »ç¶÷µé,ÓÚ×¾,ÓÚ×¸,ÓÙ×¾,ÓÙ×¸,,,,
µÎ¸ñ,ÔéÙÍ,ÆÐ°Å¸®ÀÇ ¿ìµÎ¸Ó¸®,ÔéÖÅ,ÔéÖÆ,ÔÁÖÅ,ÔÁÖÆ,,,,
µÎ·É,ÔéÖÅ,ÆÐ°Å¸®ÀÇ ¿ìµÎ¸Ó¸®,ÔéÙÍ,ÔéÙË,ÔÁÙÍ,ÔÁÙË,,,,
µÎ¼ö,ÔéâÏ,ÆÐ°Å¸®ÀÇ ¿ìµÎ¸Ó¸®,ÔéÙÍ,ÔéÙË,ÔÁÙÍ,ÔÁÙË,,,,
¼ö·É,âÏÖÅ,ÆÐ°Å¸®ÀÇ ¿ìµÎ¸Ó¸®,ÔéÙÍ,ÔéÙË,ÔÁÙÍ,ÔÁÙË,,,,
¹®»ç,ÙþÞÍ,¹®ÇÐ¿¡ ¶Ù¾î³ª°í ½Ã¹®À» Àß Áþ´Â »ç¶÷,ÞòÛ×,ÞòÛÞ,ÞîÛ×,ÞîÛÞ,,,,
»ç¹é,ÞòÛ×,¹®ÇÐ¿¡ ¶Ù¾î³ª°í ½Ã¹®À» Àß Áþ´Â »ç¶÷,ÙþÞÍ,ÙþÞî,Ú¥ÞÍ,Ú¥Þî,,,,
»çÀÎ,ÞòìÑ,¹®ÇÐ¿¡ ¶Ù¾î³ª°í ½Ã¹®À» Àß Áþ´Â »ç¶÷,ÙþÞÍ,ÙþÞî,Ú¥ÞÍ,Ú¥Þî,,,,
º¯Ãµ,Ü¨ôÃ,º¯ÇÏ¿© ´Þ¶óÁü,ÔÑï®,ÔÑîø,ÔÚï®,ÔÚîø,,,,
µ¿Àü,ÔÑï®,º¯ÇÏ¿© ´Þ¶óÁü,Ü¨ôÃ,Ü¨ô¾,Ü§ôÃ,Ü§ô¾,,,,
º¯È­,Ü¨ûù,º¯ÇÏ¿© ´Þ¶óÁü,Ü¨ôÃ,Ü¨ô¾,Ü§ôÃ,Ü§ô¾,,,,
¿¬Çõ,æÍúÔ,º¯ÇÏ¿© ´Þ¶óÁü,Ü¨ôÃ,Ü¨ô¾,Ü§ôÃ,Ü§ô¾,,,,
Àüº¯,ï®Ü¨,º¯ÇÏ¿© ´Þ¶óÁü,Ü¨ôÃ,Ü¨ô¾,Ü§ôÃ,Ü§ô¾,,,,
»ó¼Ò,ß¾áÂ,ÀÓ±Ý¿¡°Ô ±ÛÀ» ¿Ã¸®´ø ÀÏ,ÛÈáÂ,ÛÈáÏ,ÛÖáÂ,ÛÖáÏ,,,,
¹è¼Ò,ÛÈáÂ,ÀÓ±Ý¿¡°Ô ±ÛÀ» ¿Ã¸®´ø ÀÏ,ß¾áÂ,ß¾áÏ,ßÖáÂ,ßÖáÏ,,,,
ÁÖ¼­,ñ´ßö,ÀÓ±Ý¿¡°Ô ±ÛÀ» ¿Ã¸®´ø ÀÏ,ß¾áÂ,ß¾áÏ,ßÖáÂ,ßÖáÏ,,,,
ÁÖÀå,ñ´íñ,ÀÓ±Ý¿¡°Ô ±ÛÀ» ¿Ã¸®´ø ÀÏ,ß¾áÂ,ß¾áÏ,ßÖáÂ,ßÖáÏ,,,,
¼÷Áö,âÙò±,ÀÍ¼÷ÇÏ°Ô ¶Ç´Â ÃæºÐÈ÷ ¾Í,âÙãÛ,âÙãØ,âÓãÛ,âÓãØ,,,,
¼÷½Ä,âÙãÛ,ÀÍ¼÷ÇÏ°Ô ¶Ç´Â ÃæºÐÈ÷ ¾Í,âÙãú,âÙãù,âÓãú,âÓãù,,,,
¼÷½Ç,âÙãú,ÀÍ¼÷ÇÏ°Ô ¶Ç´Â ÃæºÐÈ÷ ¾Í,âÙãÛ,âÙãØ,âÓãÛ,âÓãØ,,,,
¼÷Åë,âÙ÷×,ÀÍ¼÷ÇÏ°Ô ¶Ç´Â ÃæºÐÈ÷ ¾Í,âÙãÛ,âÙãØ,âÓãÛ,âÓãØ,,,,
À§½Ç,êÍãú,ÀÍ¼÷ÇÏ°Ô ¶Ç´Â ÃæºÐÈ÷ ¾Í,âÙãÛ,âÙãØ,âÓãÛ,âÓãØ,,,,
Áö½Ç,ò±ãú,ÀÍ¼÷ÇÏ°Ô ¶Ç´Â ÃæºÐÈ÷ ¾Í,âÙãÛ,âÙãØ,âÓãÛ,âÓãØ,,,,
ÅëÁö,÷Óò±,ÀÍ¼÷ÇÏ°Ô ¶Ç´Â ÃæºÐÈ÷ ¾Í,âÙãÛ,âÙãØ,âÓãÛ,âÓãØ,,,,
¾Æ±º,ä²ÏÚ,¿ì¸® Æí ±º´ë,éÒÏÚ,éÒÏ×,éêÏÚ,éêÏ×,,,,
¿ì±º,éÒÏÚ,¿ì¸® Æí ±º´ë,ä²ÏÚ,ä²Ï×,ä·ÏÚ,ä·Ï×,,,,
¿©ÅÃ,æ®÷Ê,Á¶»óÀÌ ³²±ä ÀºÇý,á¦÷Ê,á¦÷É,àã÷Ê,àã÷É,,,,
¼¼ÅÃ,á¦÷Ê,Á¶»óÀÌ ³²±ä ÀºÇý,æ®÷Ê,æ®÷É,åù÷Ê,åù÷É,,,,
¿©´ö,æ®Óì,Á¶»óÀÌ ³²±ä ÀºÇý,æ®÷Ê,æ®÷É,åù÷Ê,åù÷É,,,,
À¯Àº,ë¶ëÚ,Á¶»óÀÌ ³²±ä ÀºÇý,æ®÷Ê,æ®÷É,åù÷Ê,åù÷É,,,,
À¯À½,ë¶ëã,Á¶»óÀÌ ³²±ä ÀºÇý,æ®÷Ê,æ®÷É,åù÷Ê,åù÷É,,,,
À¯À½,ë¶ëä,Á¶»óÀÌ ³²±ä ÀºÇý,æ®÷Ê,æ®÷É,åù÷Ê,åù÷É,,,,
¿íÀÏ,éïìí,¾ÆÄ§¿¡ ¶°¿À¸£´Â ¹àÀº ÇØ,ßõìí,ßõìî,à£ìí,à£ìî,,,,
¼­ÀÏ,ßõìí,¾ÆÄ§¿¡ ¶°¿À¸£´Â ¹àÀº ÇØ,éïìí,éïìî,éòìí,éòìî,,,,
Á¶ÀÏ,ðÈìí,¾ÆÄ§¿¡ ¶°¿À¸£´Â ¹àÀº ÇØ,éïìí,éïìî,éòìí,éòìî,,,,
È¿ÀÏ,üûìí,¾ÆÄ§¿¡ ¶°¿À¸£´Â ¹àÀº ÇØ,éïìí,éïìî,éòìí,éòìî,,,,
Àå½Ä,íûãÞ,°Ñ¸ð¾çÀ» ²Ù¹Ò,áóãÞ,áóãØ,âÆãÞ,âÆãØ,,,,
¼ö½Ä,áóãÞ,°Ñ¸ð¾çÀ» ²Ù¹Ò,íûãÞ,íûãØ,ßÒãÞ,ßÒãØ,,,,
Ä¡Àå,ö½íû,°Ñ¸ð¾çÀ» ²Ù¹Ò,íûãÞ,íûãØ,ßÒãÞ,ßÒãØ,,,,
Á¤ÃÊ,ïáôø,ÇÑ ÇØÀÇ Ã³À½,á¨âÏ,á¨âÆ,àãâÏ,àãâÆ,,,,
¼¼¼ö,á¨âÏ,ÇÑ ÇØÀÇ Ã³À½,ïáôø,ïáôþ,ïÓôø,ïÓôþ,,,,
¼¼ÃÊ,á¨ôø,ÇÑ ÇØÀÇ Ã³À½,ïáôø,ïáôþ,ïÓôø,ïÓôþ,,,,
¼ö¼¼,âÏá¨,ÇÑ ÇØÀÇ Ã³À½,ïáôø,ïáôþ,ïÓôø,ïÓôþ,,,,
¿¬µÎ,æÄÔé,ÇÑ ÇØÀÇ Ã³À½,ïáôø,ïáôþ,ïÓôø,ïÓôþ,,,,
Áøº¸,òäÜÆ,»ç¶÷ÀÇ ÁöÇý³ª ¹®¹°ÀÌ ¿­·Á Á¡Â÷ ¹ß´ÞÇÔ,ËÒÙ¥,ËÒÙ©,ËÂÙ¥,ËÂÙ©,,,,
°³¸í,ËÒÙ¥,»ç¶÷ÀÇ ÁöÇý³ª ¹®¹°ÀÌ ¿­·Á Á¡Â÷ ¹ß´ÞÇÔ,òäÜÆ,òäÜÇ,òÖÜÆ,òÖÜÇ,,,,
°³Áø,ËÇòä,»ç¶÷ÀÇ ÁöÇý³ª ¹®¹°ÀÌ ¿­·Á Á¡Â÷ ¹ß´ÞÇÔ,òäÜÆ,òäÜÇ,òÖÜÆ,òÖÜÇ,,,,
°³È­,ËÒûù,»ç¶÷ÀÇ ÁöÇý³ª ¹®¹°ÀÌ ¿­·Á Á¡Â÷ ¹ß´ÞÇÔ,òäÜÆ,òäÜÇ,òÖÜÆ,òÖÜÇ,,,,
Áøº¸,òÒÜÄ,Áø±ÍÇÑ º¸¹è,Ñ­Öñ,Ñ­Öí,Ñ£Öñ,Ñ£Öí,,,,
±â·Ú,Ñ­Öñ,Áø±ÍÇÑ º¸¹è,òÒÜÄ,òÒÜÇ,òÖÜÄ,òÖÜÇ,,,,
ÃßÈ£,õÕûÆ,¸Å¿ì ÀûÀº ºÐ·®À» ºñÀ¯ÀûÀ¸·Î ÀÌ¸£´Â ¸»,ÝÂûÆ,ÝÂûÑ,ÝÊûÆ,ÝÊûÑ,,,,
ºÐÈ£,ÝÂûÆ,¸Å¿ì ÀûÀº ºÐ·®À» ºñÀ¯ÀûÀ¸·Î ÀÌ¸£´Â ¸»,õÕûÆ,õÕûÑ,õÖûÆ,õÖûÑ,,,,
ÀÏÈ£,ìéûÆ,¸Å¿ì ÀûÀº ºÐ·®À» ºñÀ¯ÀûÀ¸·Î ÀÌ¸£´Â ¸»,õÕûÆ,õÕûÑ,õÖûÆ,õÖûÑ,,,,
È£¸®,ûÆ×í,¸Å¿ì ÀûÀº ºÐ·®À» ºñÀ¯ÀûÀ¸·Î ÀÌ¸£´Â ¸»,õÕûÆ,õÕûÑ,õÖûÆ,õÖûÑ,,,,
È£¸»,ûÆØÇ,¸Å¿ì ÀûÀº ºÐ·®À» ºñÀ¯ÀûÀ¸·Î ÀÌ¸£´Â ¸»,õÕûÆ,õÕûÑ,õÖûÆ,õÖûÑ,,,,
ÆÐ·û,ø§×Ã,ÀÎ°£À¸·Î¼­ ¸¶¶¥È÷ ÇÏ¿©¾ß ÇÒ µµ¸®¿¡ ¾î±×·¯Áü,ÛÎ×Ã,ÛÎ×Æ,ÛÖ×Ã,ÛÖ×Æ,,,,
¹è·û,ÛÎ×Ã,ÀÎ°£À¸·Î¼­ ¸¶¶¥È÷ ÇÏ¿©¾ß ÇÒ µµ¸®¿¡ ¾î±×·¯Áü,ø§×Ã,ø§×Æ,ø©×Ã,ø©×Æ,,,,
ºÒ·û,ÝÕ×Ã,ÀÎ°£À¸·Î¼­ ¸¶¶¥È÷ ÇÏ¿©¾ß ÇÒ µµ¸®¿¡ ¾î±×·¯Áü,ø§×Ã,ø§×Æ,ø©×Ã,ø©×Æ,,,,
»ó·û,ß¿×Ã,ÀÎ°£À¸·Î¼­ ¸¶¶¥È÷ ÇÏ¿©¾ß ÇÒ µµ¸®¿¡ ¾î±×·¯Áü,ø§×Ã,ø§×Æ,ø©×Ã,ø©×Æ,,,,
¿ª·û,æ½×Ã,ÀÎ°£À¸·Î¼­ ¸¶¶¥È÷ ÇÏ¿©¾ß ÇÒ µµ¸®¿¡ ¾î±×·¯Áü,ø§×Ã,ø§×Æ,ø©×Ã,ø©×Æ,,,,
Çã¸í,úÈÙ£,½Ç¼Ó ¾ø´Â ÇêµÈ ¸í¼º,ÍöÙ£,ÍöÙ©,ÍùÙ£,ÍùÙ©,,,,
°ø¸í,ÍöÙ£,½Ç¼Ó ¾ø´Â ÇêµÈ ¸í¼º,úÈÙ£,úÈÙ©,úÆÙ£,úÆÙ©,,,,
¹é¸Á,ÛÜØÐ,½Ç¼Ó ¾ø´Â ÇêµÈ ¸í¼º,úÈÙ£,úÈÙ©,úÆÙ£,úÆÙ©,,,,
±¸Ãµ,Îúô¸,³ôÀº ÇÏ´Ã,Îúå¯,Îúå¬,ÏÉå¯,ÏÉå¬,,,,
±¸¾ß,Îúå¯,³ôÀº ÇÏ´Ã,Îúô¸,Îúô¾,ÏÉô¸,ÏÉô¾,,,,
Ãþ¼Ò,öµá²,³ôÀº ÇÏ´Ã,Îúô¸,Îúô¾,ÏÉô¸,ÏÉô¾,,,,
°í½É,ÍÈãý,¸÷½Ã ¾Ö¸¦ ÅÂ¿ì¸ç ¸¶À½À» ¾¸,Ò¾ÞÖ,Ò¾Þî,ÒÌÞÖ,ÒÌÞî,,,,
³ë»ç,Ò¾ÞÖ,¸÷½Ã ¾Ö¸¦ ÅÂ¿ì¸ç ¸¶À½À» ¾¸,ÍÈãý,ÍÈä£,ÍÀãý,ÍÀä£,,,,
³ë½É,Ò¾ãý,¸÷½Ã ¾Ö¸¦ ÅÂ¿ì¸ç ¸¶À½À» ¾¸,ÍÈãý,ÍÈä£,ÍÀãý,ÍÀä£,,,,
ÃÊ·Î,õ¥ÖÌ,¸÷½Ã ¾Ö¸¦ ÅÂ¿ì¸ç ¸¶À½À» ¾¸,ÍÈãý,ÍÈä£,ÍÀãý,ÍÀä£,,,,
ÃÊ»ç,õ¥ÞÖ,¸÷½Ã ¾Ö¸¦ ÅÂ¿ì¸ç ¸¶À½À» ¾¸,ÍÈãý,ÍÈä£,ÍÀãý,ÍÀä£,,,,
ÃÊ½É,õ¥ãý,¸÷½Ã ¾Ö¸¦ ÅÂ¿ì¸ç ¸¶À½À» ¾¸,ÍÈãý,ÍÈä£,ÍÀãý,ÍÀä£,,,,
±ÞÁø,Ðáòä,°©ÀÚ±â ³ª¾Æ°¨,ÔËòä,ÔËòÖ,ÔÇòä,ÔÇòÖ,,,,
µ·Áø,ÔËòä,°©ÀÚ±â ³ª¾Æ°¨,Ðáòä,ÐáòÖ,Ðâòä,ÐâòÖ,,,,
´ä½À,ÓÎã©,¿¹ÀüÀÇ Ç³½À ½À°ü ¿¹Àý µûÀ§¸¦ ±×´ë·Î µû¸§,Ô°ã©,Ô°ã¥,Ô®ã©,Ô®ã¥,,,,
µµ½À,Ô°ã©,¿¹ÀüÀÇ Ç³½À ½À°ü ¿¹Àý µûÀ§¸¦ ±×´ë·Î µû¸§,ÓÎã©,ÓÎã¥,ÓÏã©,ÓÏã¥,,,,
¿¬½À,æÍã©,¿¹ÀüÀÇ Ç³½À ½À°ü ¿¹Àý µûÀ§¸¦ ±×´ë·Î µû¸§,ÓÎã©,ÓÎã¥,ÓÏã©,ÓÏã¥,,,,
ÀÎ½À,ì×ã©,¿¹ÀüÀÇ Ç³½À ½À°ü ¿¹Àý µûÀ§¸¦ ±×´ë·Î µû¸§,ÓÎã©,ÓÎã¥,ÓÏã©,ÓÏã¥,,,,
¸ôµÎ,ÙÒÔé,¾î¶² ÀÏ¿¡ ¿Â Á¤½ÅÀ» ´Ù ±â¿ï¿© ¿­ÁßÇÔ,ÍçÙÒ,ÍçÙÑ,üÁÙÒ,üÁÙÑ,,,,
°ñ¸ô,ÍçÙÒ,¾î¶² ÀÏ¿¡ ¿Â Á¤½ÅÀ» ´Ù ±â¿ï¿© ¿­ÁßÇÔ,ÙÒÔé,ÙÒÔÁ,ÙÑÔé,ÙÑÔÁ,,,,
